,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
55,,,,,Top 50 quality games:,Top 50:,4,29.7,-1.8,-7.9,48.3,9.6,28.6,25.2,2.4,11.5,0.0,25.5,4.7,0.0,28.6,0-2,.000,2-7,.286,0-0,.000,,,,,,,,
56,2008,Sr,5-10,Jeremy Sallee,Akron,MAC,9,2.9,-0.6,-11.2,52.8,18.1,20.0,25.2,3.0,6.4,4.5,24.8,0.0,1.5,40.0,2-4,.500,2-10,.200,0-0,.000,,,,,,,,
57,,,,,Conf. games:,Conf. games:,2,1.3,0.0,1.7,91.2,18.5,33.3,33.3,15.8,0.0,0.0,0.0,0.0,7.7,0.0,0-0,.000,1-3,.333,0-0,.000,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,Date,,Opponent,Result,Mins,ORtg,Usage,eFG,TS%,OR%,DR%,AST%,TO%,Stl%,Blk%,Dunk,Rim,Mid,2Pt,3Pt,FT,Ast,TO,Stl,Blk,OR,DR,PF,GBPM,NET,Pts
60,2008,Sr,6-0,Nick Goddard,Akron,MAC,13,4.2,0.9,8.7,128.8,26.4,59.3,64.2,0.0,6.6,8.2,7.8,0.0,0.0,44.4,10-12,.833,1-2,.500,10-25,.400,,,,,,,,
61,,,,,Conf. games:,Conf. games:,6,3.4,0.6,6.5,124.0,23.5,54.5,58.6,0.0,0.0,0.0,0.0,0.0,0.0,18.2,2-2,1.000,0-0,.000,4-11,.364,,,,,,,,
62,,,,,Top 100 quality games:,Top 100:,2,0.7,0.1,-2.4,102.8,14.2,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,.500,0-0,.000,0-0,.000,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2008,Jr,6-9,Richard Hendrix,Alabama,SEC,32,73.1,4.8,9.3,117.4,26.2,60.1,59.4,13.1,23.5,11.5,12.3,7.2,2.4,52.5,108-201,.537,227-376,.604,2-7,.286,,,,,,,,
65,,,,,Conf. games:,Conf. games:,15,72.5,3.9,7.0,107.2,26.4,57.0,55.7,13.2,23.0,11.1,15.3,7.3,2.7,58.7,49-101,.485,98-171,.573,0-1,.000,,,,,,,,
66,,,,,Top 100 quality games:,Top 100:,18,73.2,4.9,8.6,112.6,26.3,57.7,57.2,12.8,22.5,11.9,12.5,7.5,2.2,54.9,61-117,.521,123-210,.586,0-3,.000,,,,,,,,
67,,,,,Top 50 quality games:,Top 50:,10,70.7,4.6,7.1,108.9,25.4,55.6,56.5,11.1,20.9,9.9,13.6,7.8,2.0,36.5,27-46,.587,70-123,.569,0-3,.000,,,,,,,,
68,2008,Sr,6-6,Mykal Riley,Alabama,SEC,33,77.5,4.0,7.8,117.8,20.3,58.5,60.2,4.8,13.4,10.7,15.8,2.0,3.0,19.2,54-72,.750,65-137,.474,103-238,.433,,,,,,,,
69,,,,,Conf. games:,Conf. games:,16,79.4,4.4,8.1,118.4,20.4,56.6,59.3,4.8,16.0,12.2,14.2,3.0,2.6,25.1,36-46,.783,30-62,.484,49-121,.405,,,,,,,,
