"Yr","Cls","Ht","Player","Team","Conf","G.x","Min%","PRPG!","GBPM","ORtg","Usg","eFG","TS","OR","DR","Ast","TO","Blk","Stl","FTR","FT_raw","FT_pct","2P_raw","2P_pct","3P_raw","3P_pct","Draft_Yr","Pk","Tm","College","Yrs","G.y","MP","PTS","TRB","AST","FG_Perc","X3P_Perc","FT_Perc","MP_per_G","PTS_per_G_per_G","TRB_per_G_per_G","AST_per_G_per_G","WS_per_G","WS_per_48","BPM","VORP"
2013,"So","6-6","Michael Carter-Williams","Syracuse","BE","40","87.5","3.8","8.5","102.6","24.4","43.8","49.1","4.0",11.1,40.2,24.1,1.7,4.8,47.2,"129-186",0.694,"120-274",0.438,"35-120",0.292,2013,11,"PHI","Syracuse University",6,315,8265,3426,1427,1463,0.401,0.251,0.702,26.2,10.9,4.5,4.6,5.2,0.03,-0.7,2.7
2013,"So","6-6","Michael Carter-Williams","Conf. games:","Conf. games:","18","91.3","4.5","8.5","104.0","24.0","43.8","50.0","4.6",9.5,33.4,21.4,1.6,4.7,41.7,"62-80",0.775,"57-131",0.435,"18-61",0.295,2013,11,"PHI","Syracuse University",6,315,8265,3426,1427,1463,0.401,0.251,0.702,26.2,10.9,4.5,4.6,5.2,0.03,-0.7,2.7
2013,"So","6-6","Michael Carter-Williams","Top 100 quality games:","Top 100:","24","90.3","3.6","6.9","94.6","26.2","42.2","47.4","3.7",11,33,23.5,1.3,4.4,50.6,"87-133",0.654,"84-191",0.44,"18-72",0.25,2013,11,"PHI","Syracuse University",6,315,8265,3426,1427,1463,0.401,0.251,0.702,26.2,10.9,4.5,4.6,5.2,0.03,-0.7,2.7
2013,"So","6-6","Michael Carter-Williams","Top 50 quality games:","Top 50:","17","90.0","3.4","7.5","92.2","25.9","43.2","48.0","2.6",11.4,31.6,25.3,1.6,5,43.7,"54-80",0.675,"55-127",0.433,"16-56",0.286,2013,11,"PHI","Syracuse University",6,315,8265,3426,1427,1463,0.401,0.251,0.702,26.2,10.9,4.5,4.6,5.2,0.03,-0.7,2.7
2013,"Fr","6-6","Shabazz Muhammad","UCLA","P12","32","69.5","4.4","3.7","107.1","28.2","48.7","52.8","9.9",8.5,5.8,10.5,0.4,1.3,39.5,"128-180",0.711,"162-350",0.463,"40-106",0.377,2013,14,"UTA","University of California, Los Angeles",5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-4.1,-2.5
2013,"Fr","6-6","Shabazz Muhammad","Conf. games:","Conf. games:","18","78.9","4.1","4.0","103.7","27.6","47.3","51.1","8.5",9.3,5.7,9.1,0.5,1.7,37,"67-97",0.691,"85-195",0.436,"26-67",0.388,2013,14,"UTA","University of California, Los Angeles",5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-4.1,-2.5
2013,"Fr","6-6","Shabazz Muhammad","Top 100 quality games:","Top 100:","23","77.6","4.1","2.6","103.5","27.4","46.2","50.3","8.4",8.3,5.1,9.3,0.4,1.1,39.1,"88-128",0.688,"115-255",0.451,"24-72",0.333,2013,14,"UTA","University of California, Los Angeles",5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-4.1,-2.5
2013,"Fr","6-6","Shabazz Muhammad","Top 50 quality games:","Top 50:","11","75.7","4.8","3.8","107.4","27.4","48.1","52.0","7.1",8.7,5.5,8.5,0.6,1,42,"45-66",0.682,"59-125",0.472,"11-32",0.344,2013,14,"UTA","University of California, Los Angeles",5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-4.1,-2.5
2013,"Fr","6-8","Anthony Bennett","UNLV","MWC","34","67.8","3.9","8.5","112.8","25.7","57.5","60.4","9.9",21.3,8.2,15.3,4.3,1.5,46,"117-168",0.696,"156-271",0.576,"36-94",0.383,2013,1,"CLE","University of Nevada, Las Vegas",4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-5.6,-1.7
2013,"Fr","6-8","Anthony Bennett","Conf. games:","Conf. games:","16","60.6","2.2","3.8","96.7","27.2","52.9","54.1","11.1",21.2,7.1,19.8,4.8,1.2,33.1,"30-51",0.588,"62-117",0.53,"13-37",0.351,2013,1,"CLE","University of Nevada, Las Vegas",4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-5.6,-1.7
2013,"Fr","6-8","Anthony Bennett","Top 100 quality games:","Top 100:","19","70.8","3.7","7.2","107.5","25.1","52.4","56.5","8.9",20.6,8.3,14.9,4,1.5,42,"63-86",0.733,"82-151",0.543,"17-54",0.315,2013,1,"CLE","University of Nevada, Las Vegas",4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-5.6,-1.7
2013,"Fr","6-8","Anthony Bennett","Top 50 quality games:","Top 50:","11","75.2","4.5","8.7","113.4","23.9","57.6","60.3","8.3",20.1,5.9,14.4,4.2,1.2,40.8,"36-51",0.706,"54-88",0.614,"12-37",0.324,2013,1,"CLE","University of Nevada, Las Vegas",4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-5.6,-1.7
2013,"So","6-2","A.J. Price","UTSA","WAC","15","11.8","-1.4","-9.7","52.0","11.1","50.0","50.0","1.5",2.5,9,61.6,0,1.2,0,"0-0",0,"0-2",0,"4-10",0.4,2009,52,"IND","University of Connecticut",6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-2.4,-0.4
2013,"So","6-2","A.J. Price","Conf. games:","Conf. games:","5","4.5","0.3","-2.6","122.9","3.6","150.0","150.0","3.4",4.4,0,55.3,0,4,0,"0-0",0,"0-0",0,"1-1",1,2009,52,"IND","University of Connecticut",6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-2.4,-0.4
2013,"So","6-2","A.J. Price","Top 100 quality games:","Top 100:","5","13.3","-1.1","-6.5","41.7","8.4","150.0","150.0","0.0",8.7,0,86.1,0,1.8,0,"0-0",0,"0-0",0,"1-1",1,2009,52,"IND","University of Connecticut",6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-2.4,-0.4
2013,"So","6-2","A.J. Price","Top 50 quality games:","Top 50:","3","16.7","-2.0","-13.3","0.0","8.2","0.0","0.0","0.0",7.7,0,100,0,0,0,"0-0",0,"0-0",0,"0-0",0,2009,52,"IND","University of Connecticut",6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-2.4,-0.4
2013,"Sr","6-4","Erick Green","Virginia Tech","ACC","32","89.7","7.4","9.9","120.0","31.6","53.0","59.2","1.4",10.6,27,11,0.6,2.1,48.5,"218-267",0.816,"200-393",0.509,"61-157",0.389,2013,46,"UTA","Virginia Polytechnic Institute and State University",2,52,452,159,37,42,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-5.1,-0.3
2013,"Sr","6-4","Erick Green","Conf. games:","Conf. games:","18","92.2","8.7","10.8","121.3","32.5","53.5","59.0","1.7",10.4,24.9,9.2,0.9,1.9,47.8,"122-155",0.787,"115-235",0.489,"39-89",0.438,2013,46,"UTA","Virginia Polytechnic Institute and State University",2,52,452,159,37,42,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-5.1,-0.3
2013,"Sr","6-4","Erick Green","Top 100 quality games:","Top 100:","18","89.8","7.8","9.2","117.5","31.9","50.0","56.0","2.0",10.3,25.3,9.9,0.3,1.9,43,"112-138",0.812,"108-223",0.484,"35-98",0.357,2013,46,"UTA","Virginia Polytechnic Institute and State University",2,52,452,159,37,42,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-5.1,-0.3
2013,"Sr","6-4","Erick Green","Top 50 quality games:","Top 50:","14","88.6","7.5","7.9","116.2","31.6","50.2","56.1","1.7",11,23.5,11,0.2,1.4,39.8,"81-98",0.827,"80-170",0.471,"29-76",0.382,2013,46,"UTA","Virginia Polytechnic Institute and State University",2,52,452,159,37,42,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-5.1,-0.3
