,Yr,Cls,Ht,Player,Team,Conf.,G,Min%,PRPG!,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FT_raw,FT_pct,2P_raw,2P_pct,3P_raw,3P_pct,shit,shit,shit,shit
97,,,,,Conf. games:,Conf. games:,18,81.0,2.7,99.1,29.3,52.3,53.5,5.2,16.2,10.2,14.5,1.1,1.5,15.6,29-44,.659,119-215,.553,19-67,.284,,,,
98,,,,,Top 100 quality games:,Top 100:,10,78.8,1.4,83.2,30.6,50.0,51.4,3.4,13.9,9.5,22.0,0.9,2.1,16.9,15-23,.652,50-95,.526,12-41,.293,,,,
99,,,,,Top 50 quality games:,Top 50:,4,83.1,1.2,79.4,30.1,47.3,48.9,5.7,16.1,5.7,23.8,1.0,1.8,16.4,6-9,.667,17-34,.500,6-21,.286,,,,
100,2019,Fr,6-2,A.J. Walker,Air Force,MWC,31,66.2,1.1,98.9,19.6,49.1,52.1,0.6,8.3,19.1,17.4,0.6,1.8,27.4,45-63,.714,59-140,.421,36-90,.400,,,,
101,,,,,Conf. games:,Conf. games:,18,73.0,1.4,99.7,20.1,50.6,52.9,0.4,7.1,17.9,16.7,0.2,1.8,25.6,27-40,.675,43-97,.443,24-59,.407,,,,
102,,,,,Top 100 quality games:,Top 100:,10,67.8,0.3,83.0,20.9,47.1,50.7,0.4,9.7,13.8,24.0,0.5,1.1,39.7,18-27,.667,20-48,.417,8-20,.400,,,,
103,,,,,Top 50 quality games:,Top 50:,4,60.6,2.2,100.6,20.9,50.0,55.3,0.0,9.1,20.4,17.6,1.4,1.2,38.5,8-10,.800,7-17,.412,4-9,.444,,,,
104,2019,Jr,6-4,Caleb Morris,Air Force,MWC,28,54.0,1.1,105.5,15.4,58.3,61.2,0.7,14.4,11.7,21.0,0.8,1.3,20.0,26-30,.867,20-37,.541,45-113,.398,,,,
105,,,,,Conf. games:,Conf. games:,17,61.4,1.3,108.7,14.4,59.0,62.2,1.0,13.9,11.1,20.3,0.3,1.2,18.1,16-17,.941,9-18,.500,31-76,.408,,,,
106,,,,,Top 100 quality games:,Top 100:,10,60.8,0.6,95.5,14.2,59.8,62.1,0.0,10.8,13.5,27.3,1.2,1.0,29.3,9-12,.750,5-10,.500,13-31,.419,,,,
107,,,,,Top 50 quality games:,Top 50:,4,63.1,-1.2,72.1,14.5,37.5,43.0,0.0,12.5,15.3,32.6,0.0,0.0,18.8,3-3,1.000,3-5,.600,2-11,.182,,,,
108,2019,So,6-5,Chris Joyce,Air Force,MWC,31,53.4,1.0,98.8,20.0,47.5,49.9,2.3,16.3,15.5,13.7,1.0,1.0,24.1,33-49,.673,47-103,.456,33-100,.330,,,,
109,,,,,Conf. games:,Conf. games:,18,54.1,0.8,98.1,18.8,44.8,46.3,2.9,16.7,12.8,8.8,0.7,1.2,16.9,13-21,.619,24-64,.375,21-60,.350,,,,
110,,,,,Top 100 quality games:,Top 100:,10,64.3,-0.0,83.4,17.6,39.3,41.2,0.9,16.5,12.4,9.1,1.1,0.7,22.9,9-16,.563,14-35,.400,9-35,.257,,,,
111,,,,,Top 50 quality games:,Top 50:,4,63.8,1.8,97.3,19.5,48.3,50.3,1.2,9.9,15.2,12.0,0.0,1.2,27.6,5-8,.625,8-19,.421,4-10,.400,,,,
112,2019,So,6-6,Ameka Akaya,Air Force,MWC,28,23.7,0.6,102.8,20.0,63.1,65.4,4.1,15.8,9.6,25.8,0.4,0.8,25.0,16-20,.800,40-62,.645,7-18,.389,,,,
113,,,,,Conf. games:,Conf. games:,15,17.8,0.3,94.3,19.9,50.0,55.3,2.6,15.1,9.2,23.0,0.0,0.9,28.6,9-10,.900,16-29,.552,1-6,.167,,,,
114,,,,,Top 100 quality games:,Top 100:,10,25.3,0.5,93.6,21.2,50.0,57.3,2.4,17.3,7.6,22.0,0.0,0.6,32.1,9-9,1.000,14-23,.609,0-5,.000,,,,
115,,,,,Top 50 quality games:,Top 50:,4,30.0,0.3,86.5,18.6,41.7,48.4,0.0,15.7,13.5,20.0,0.0,1.2,25.0,3-3,1.000,5-9,.556,0-3,.000,,,,
116,2019,So,6-7,Keaton Van Soelen,Air Force,MWC,31,51.5,0.2,99.8,12.7,47.3,50.5,5.4,12.3,8.0,17.4,2.3,1.6,28.2,22-31,.710,37-73,.507,10-37,.270,,,,
117,,,,,Conf. games:,Conf. games:,18,49.9,-0.2,91.1,14.0,44.1,45.9,4.7,11.8,10.3,19.9,1.5,1.6,22.1,9-15,.600,18-40,.450,8-28,.286,,,,
118,,,,,Top 100 quality games:,Top 100:,10,43.3,-0.0,89.3,13.3,48.6,48.8,2.8,13.0,6.5,15.3,2.5,2.0,11.4,2-4,.500,11-20,.550,4-15,.267,,,,
119,,,,,Top 50 quality games:,Top 50:,4,50.0,0.5,93.2,14.0,66.7,66.7,3.2,9.4,5.3,31.9,1.7,2.2,0.0,0-0,.000,4-8,.500,4-7,.571,,,,
